,DOGE,DOGE,DOGE,DOGE,DOGE,BTC,BTC,BTC,BTC,BTC,XRP,XRP,XRP,XRP,XRP,USDT,USDT,USDT,USDT,USDT,ETH,ETH,ETH,ETH,ETH
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-27,0.0019990000873804092,0.0020359999034553766,0.0018909999635070562,0.001988000003620982,6185790.0,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,5653320192,0.24830499291419983,0.25473299622535706,0.24786099791526794,0.25392699241638184,196735008.0,1.0067499876022339,1.020169973373413,0.9981259703636169,1.001289963722229,784436992.0,471.531005859375,493.4049987792969,468.4849853515625,480.3550109863281,1396480000.0
2017-11-28,0.0019910000264644623,0.002363000065088272,0.0019490000559017062,0.002363000065088272,8317540.0,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,6348819968,0.2540369927883148,0.3010840117931366,0.25341498851776123,0.2991519868373871,720742976.0,1.002869963645935,1.0064799785614014,0.9960479736328125,1.0001399517059326,794764032.0,480.51800537109375,482.4800109863281,466.34698486328125,472.9020080566406,1346499968.0
2017-11-29,0.0023330000694841146,0.002581000095233321,0.001993000041693449,0.0020800000056624413,11077200.0,10077.400390625,11517.400390625,9601.0302734375,9888.6103515625,11568799744,0.2978670001029968,0.2978670001029968,0.23940899968147278,0.2430640012025833,541177984.0,1.0001300573349,1.048449993133545,0.9556180238723755,0.9906060099601746,1672120064.0,473.281005859375,522.3070068359375,425.0710144042969,427.52301025390625,2675940096.0
2017-11-30,0.002047999994829297,0.002271000063046813,0.0018899999558925629,0.002078999998047948,4919490.0,9906.7900390625,10801.0,9202.0498046875,10233.599609375,8310689792,0.24643300473690033,0.2615239918231964,0.22958600521087646,0.2508780062198639,270907008.0,1.0038599967956543,1.0286699533462524,0.9893190264701843,1.0081000328063965,1043969984.0,431.2149963378906,465.49700927734375,401.2430114746094,447.114013671875,1903040000.0
2017-12-01,0.002051000017672777,0.002237000036984682,0.0019710001070052385,0.002148000057786703,5258110.0,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,6783119872,0.25035199522972107,0.2588280141353607,0.239437997341156,0.2556990087032318,182992000.0,1.007200002670288,1.0192099809646606,0.9930430054664612,1.0097800493240356,749395968.0,445.2090148925781,472.6090087890625,428.31201171875,466.5400085449219,1247879936.0
2017-12-02,0.002122000092640519,0.0022120000794529915,0.0020169999916106462,0.0021490000654011965,4978180.0,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,5138500096,0.25565600395202637,0.2592180073261261,0.25075599551200867,0.2554920017719269,118250000.0,1.0089499950408936,1.0167700052261353,0.9956110119819641,0.9996539950370789,679950016.0,466.85101318359375,476.239013671875,456.65301513671875,463.4490051269531,943649984.0
2017-12-03,0.0020920000970363617,0.0023399998899549246,0.002070999937132001,0.002222999930381775,4751640.0,11082.7001953125,11858.7001953125,10862.0,11323.2001953125,6608309760,0.2555299997329712,0.26307201385498047,0.2473910003900528,0.25255799293518066,134710000.0,1.0010199546813965,1.029539942741394,0.985319972038269,1.0006599426269531,946748992.0,463.7049865722656,482.8139953613281,451.85198974609375,465.8529968261719,990556992.0
2017-12-04,0.0022060000337660313,0.002474999986588955,0.0021780000533908606,0.0024629998952150345,6307150.0,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,6132409856,0.2529189884662628,0.25536200404167175,0.24716000258922577,0.2535710036754608,104650000.0,1.0024499893188477,1.014050006866455,0.9921320080757141,1.0036699771881104,668510016.0,466.0539855957031,474.7770080566406,453.31201171875,470.2040100097656,1005550016.0
2017-12-05,0.0024739999789744616,0.0026759998872876167,0.002426000079140067,0.0024790000170469284,8772420.0,11685.7001953125,12032.0,11604.599609375,11916.7001953125,6895260160,0.25359800457954407,0.25398799777030945,0.24523399770259857,0.2461010068655014,174591008.0,1.0035099983215332,1.008370041847229,0.9964579939842224,1.0019700527191162,814145984.0,470.29400634765625,473.5580139160156,457.6600036621094,463.281005859375,1216720000.0
2017-12-06,0.0024949999060481787,0.0026630000211298466,0.0024399999529123306,0.0026630000211298466,9047960.0,11923.400390625,14369.099609375,11923.400390625,14291.5,12656300032,0.24541600048542023,0.2457049936056137,0.227742001414299,0.23254400491714478,274526016.0,0.9997599720954895,1.0200400352478027,0.9958400130271912,1.009909987449646,1281490048.0,462.60400390625,462.7080078125,420.2099914550781,428.5880126953125,1998259968.0
2017-12-07,0.002581000095233321,0.002858000108972192,0.002515000058338046,0.0027199999894946814,15759300.0,14266.099609375,17899.69921875,14057.2998046875,17899.69921875,17950699520,0.23262299597263336,0.23375999927520752,0.22134000062942505,0.22282299399375916,275204992.0,1.0070699453353882,1.076949954032898,1.0010700225830078,1.0316599607467651,1671609984.0,426.3689880371094,441.3970031738281,414.4110107421875,434.4079895019531,2129570048.0
2017-12-08,0.002730000065639615,0.0028460000175982714,0.002326000016182661,0.002778999973088503,11797600.0,17802.900390625,18353.400390625,14336.900390625,16569.400390625,21135998976,0.22363600134849548,0.278672993183136,0.2221679985523224,0.25212499499320984,660172032.0,1.036329984664917,1.0576599836349487,0.9865630269050598,1.0176000595092773,1993030016.0,434.989013671875,466.06201171875,422.36700439453125,456.031005859375,2336379904.0
2017-12-09,0.0027719999197870493,0.0028460000175982714,0.0024250000715255737,0.002616999903693795,6564530.0,16523.30078125,16783.0,13674.900390625,15178.2001953125,13911300096,0.25216200947761536,0.2556839883327484,0.24007299542427063,0.24470800161361694,205288992.0,1.0205800533294678,1.047260046005249,0.9935600161552429,1.0171300172805786,1598909952.0,457.343994140625,504.1470031738281,456.25299072265625,473.50201416015625,2003849984.0
2017-12-10,0.002607000060379505,0.002741999924182892,0.0023070001043379307,0.0025470000691711903,5614920.0,15168.400390625,15850.599609375,13226.599609375,15455.400390625,13433299968,0.24554799497127533,0.24554799497127533,0.2293040007352829,0.2373329997062683,198174000.0,1.0220600366592407,1.044659972190857,0.9715359807014465,1.0177500247955322,1649500032.0,472.78900146484375,472.78900146484375,429.5140075683594,441.72100830078125,1404179968.0
2017-12-11,0.0025629999581724405,0.002893999917432666,0.0025339999701827765,0.0027979998849332333,7017140.0,15427.400390625,17513.900390625,15404.7998046875,16936.80078125,12153900032,0.2365739941596985,0.25277701020240784,0.2358040064573288,0.2516910135746002,176100992.0,1.012719988822937,1.0296299457550049,0.9999499917030334,1.0185600519180298,1542119936.0,440.3580017089844,516.968994140625,439.10400390625,515.135986328125,1771440000.0
2017-12-12,0.0027940000873059034,0.0033809999004006386,0.0026650000363588333,0.00330400001257658,19228600.0,16919.80078125,17781.80078125,16571.599609375,17415.400390625,14603799552,0.2522580027580261,0.43410199880599976,0.2509610056877136,0.373540997505188,1555040000.0,1.01882004737854,1.0816700458526611,1.0008699893951416,1.0778800249099731,2240839936.0,522.2860107421875,657.3179931640625,504.4939880371094,651.4310302734375,5179829760.0
2017-12-13,0.003306000027805567,0.0038840000052005053,0.003218000056222081,0.003461000043898821,31150900.0,17500.0,17653.099609375,16039.7001953125,16408.19921875,12976900096,0.37268900871276855,0.5137680172920227,0.3429639935493469,0.4710629880428314,2738759936.0,1.0809500217437744,1.0880000591278076,1.0194599628448486,1.0271600484848022,2198139904.0,644.906005859375,747.9929809570312,597.7979736328125,702.7670288085938,4524539904.0
2017-12-14,0.0034489999525249004,0.003717999905347824,0.003418999956920743,0.0037090000696480274,23426200.0,16384.599609375,17085.80078125,16185.900390625,16564.0,13777399808,0.47064799070358276,0.8922669887542725,0.46640101075172424,0.8642629981040955,6358700032.0,1.0267200469970703,1.051419973373413,1.0066900253295898,1.0081900358200073,2336179968.0,700.593994140625,753.1209716796875,664.989013671875,695.8159790039062,3821580032.0
2017-12-15,0.0036700000055134296,0.00380899989977479,0.0034829999785870314,0.0037620000075548887,19043800.0,16601.30078125,18154.099609375,16601.30078125,17706.900390625,14309999616,0.8617600202560425,0.8617600202560425,0.6661139726638794,0.756181001663208,3194210048.0,1.0098199844360352,1.0187300443649292,0.9955250024795532,1.0161000490188599,2044499968.0,696.3759765625,697.1320190429688,621.0609741210938,684.447998046875,2758710016.0
2017-12-16,0.0037670000456273556,0.006250999867916107,0.0036379999946802855,0.005932999774813652,136352992.0,17760.30078125,19716.69921875,17515.30078125,19497.400390625,12740599808,0.7554929852485657,0.8159229755401611,0.7416669726371765,0.7586420178413391,1334770048.0,1.017359972000122,1.0193699598312378,1.0018199682235718,1.0074199438095093,1592729984.0,686.1920166015625,718.385009765625,680.7860107421875,696.208984375,2165690112.0
2017-12-17,0.005917000118643045,0.007627999875694513,0.00558600015938282,0.00598399993032217,99417200.0,19475.80078125,20089.0,18974.099609375,19140.80078125,13314599936,0.7541249990463257,0.7659810185432434,0.7199289798736572,0.7283660173416138,805200000.0,1.01173996925354,1.0163999795913696,1.0028599500656128,1.0092400312423706,1931020032.0,696.2369995117188,735.8250122070312,696.2369995117188,719.9749755859375,2147389952.0
2017-12-18,0.0059380000457167625,0.006808999925851822,0.005621999967843294,0.006432999856770039,44158800.0,19106.400390625,19371.0,18355.900390625,19114.19921875,14839499776,0.7280359864234924,0.7920140027999878,0.6893230080604553,0.7784069776535034,1342720000.0,1.0105199813842773,1.0183000564575195,0.9957399964332581,1.0130200386047363,2517230080.0,721.7319946289062,803.927978515625,689.2310180664062,794.64501953125,3249230080.0
2017-12-19,0.006401999853551388,0.006692999973893166,0.005475999787449837,0.005665999837219715,38885700.0,19118.30078125,19177.80078125,17275.400390625,17776.69921875,16894499840,0.777446985244751,0.86353600025177,0.7567239999771118,0.7912570238113403,1449670016.0,1.0131299495697021,1.0339699983596802,0.9967679977416992,1.0106799602508545,3073860096.0,793.9010009765625,881.9439697265625,785.3419799804688,826.822998046875,4096549888.0
2017-12-20,0.005619000177830458,0.007067000027745962,0.004891999997198582,0.006661000195890665,67820000.0,17760.30078125,17934.69921875,16077.7001953125,16624.599609375,22149699584,0.7871710062026978,0.7890440225601196,0.7309529781341553,0.7759640216827393,1007420032.0,1.0084099769592285,1.0191899538040161,0.9890789985656738,1.0001800060272217,3751790080.0,827.5159912109375,845.06201171875,756.0040283203125,819.0859985351562,3969939968.0
2017-12-21,0.006732999812811613,0.008767999708652496,0.0065830000676214695,0.007424999959766865,159154000.0,16642.400390625,17567.69921875,15342.7001953125,15802.900390625,16516599808,0.7825149893760681,1.2362200021743774,0.7825149893760681,1.193060040473938,3626109952.0,1.002310037612915,1.040410041809082,0.9938110113143921,1.0092099905014038,3106720000.0,820.2360229492188,880.5430297851562,792.6890258789062,821.06298828125,3569060096.0
2017-12-22,0.007385999895632267,0.007625000085681677,0.004741999786347151,0.006053999997675419,63693900.0,15898.0,15943.400390625,11833.0,13831.7998046875,22197999616,1.166509985923767,1.3791799545288086,0.7410129904747009,1.1382800340652466,4644700160.0,1.006350040435791,1.0590900182724,0.9630889892578125,1.0179500579833984,4687949824.0,822.6430053710938,827.6829833984375,543.7620239257812,674.8599853515625,4977710080.0
2017-12-23,0.006134999915957451,0.008076000027358532,0.00610999995842576,0.007259000092744827,70143104.0,13948.7001953125,15603.2001953125,13828.7998046875,14699.2001953125,13086000128,1.1659400463104248,1.2080999612808228,1.0761100053787231,1.174340009689331,1497590016.0,1.0123900175094604,1.0520000457763672,1.0072599649429321,1.045259952545166,2353740032.0,681.3159790039062,763.89501953125,679.7310180664062,719.3870239257812,2480339968.0
2017-12-24,0.007282000035047531,0.008948000147938728,0.0059739998541772366,0.008581999689340591,143767008.0,14608.2001953125,14626.0,12747.7001953125,13925.7998046875,11572299776,1.1755800247192383,1.1755800247192383,0.9112259745597839,1.0439499616622925,754958976.0,1.0507099628448486,1.069219946861267,1.0218299627304077,1.0230300426483154,2611589888.0,721.7689819335938,721.7689819335938,614.9219970703125,694.1480102539062,2300549888.0
